match_id,team_won,cluster,game_mode,game_type,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
5283285145.0,1,187,22,7,23,126,10,35,86,44,25,28,5,76
5283285144.0,-1,231,3,7,101,41,39,48,26,58,67,32,87,59
5283285211.0,-1,133,22,0,44,59,126,113,51,8,6,47,25,54
5283285210.0,1,156,22,7,88,11,97,26,98,1,76,128,101,69
5283285209.0,-1,137,22,0,4,75,64,93,35,41,88,44,47,30
5283285208.0,-1,154,23,0,62,35,106,91,22,59,104,44,101,48
5283285207.0,1,227,22,0,44,14,7,19,17,11,35,10,75,41
5283285206.0,-1,187,22,7,93,97,114,50,5,120,90,82,87,63
5283285205.0,1,138,22,0,30,44,25,128,21,59,50,10,36,19
5283285204.0,1,183,4,0,69,65,128,14,1,121,88,100,48,70
5283285202.0,-1,156,23,0,8,30,27,71,126,59,68,42,26,49
5283285201.0,-1,182,22,7,86,15,82,27,32,68,63,96,94,31
5283285199.0,-1,153,22,0,126,70,54,74,6,84,26,35,93,7
5283285173.0,1,182,22,0,121,41,104,84,99,28,9,98,90,4
5283285172.0,1,183,22,7,86,128,129,39,4,57,63,14,43,119
5283285171.0,1,186,22,7,93,84,22,28,72,12,102,6,114,39
5283285170.0,-1,182,22,7,97,30,21,40,44,74,26,10,60,53
5283285169.0,-1,182,23,0,99,73,46,18,30,81,47,26,84,48
5283285168.0,1,144,22,0,31,1,62,14,95,12,94,104,35,5
5283285167.0,-1,185,22,0,61,104,26,19,41,114,44,18,128,7
5283285166.0,-1,137,23,0,81,22,44,11,45,6,14,19,47,33
5283285164.0,-1,181,22,0,82,26,54,19,11,14,101,4,112,10
5283285150.0,-1,183,22,7,14,41,12,7,62,57,28,35,18,50
5283285149.0,-1,236,3,7,17,28,84,67,75,26,10,12,29,22
5283285148.0,1,183,22,7,94,120,17,53,86,10,31,69,126,71
5283285147.0,-1,152,23,0,23,7,82,108,14,5,95,28,99,25
5283285146.0,-1,153,23,0,44,1,47,29,21,95,82,126,101,104
5283285145.0,1,187,22,7,23,126,10,35,86,44,25,28,5,76
5283285144.0,-1,231,3,7,101,41,39,48,26,58,67,32,87,59
5283285143.0,1,154,23,0,54,4,99,35,71,100,17,28,59,14
5283285142.0,-1,152,22,0,35,37,95,26,49,10,1,19,75,30
5283285141.0,-1,182,22,7,120,69,44,85,62,36,14,99,93,26
5283285140.0,-1,236,23,0,65,114,11,21,88,8,120,105,35,110
5283285139.0,1,183,23,0,86,47,63,5,2,68,14,120,6,40
5283285138.0,-1,187,22,7,12,111,14,44,2,62,21,34,87,42
